iter	Logloss
0	0.6926964682
1	0.6922564128
2	0.6918454391
3	0.691453685
4	0.6910828475
5	0.6907391888
6	0.6904257491
7	0.690118986
8	0.6898320829
9	0.6895513027
10	0.6892845254
11	0.6890399839
12	0.6888093339
13	0.688590404
14	0.6883842466
15	0.6881895165
16	0.688000183
17	0.6878277506
18	0.6876679918
19	0.687514954
20	0.6873708342
21	0.6872273216
22	0.687085928
23	0.6869751814
24	0.6868751284
25	0.6867531846
26	0.6866626969
27	0.686556489
28	0.6864566625
29	0.6863786087
30	0.6863028663
31	0.6862276103
32	0.6861373881
33	0.6860486612
34	0.6859668165
35	0.6859114996
36	0.6858527103
37	0.6857989633
38	0.6857479683
39	0.6856909059
40	0.6856226896
41	0.6855695639
42	0.6855154977
43	0.6854640765
44	0.685421137
45	0.6853668295
46	0.6853285945
47	0.6852952446
48	0.685252663
49	0.685219153
50	0.6851842546
51	0.6851534474
52	0.6851218477
53	0.6850896026
54	0.6850471421
55	0.6850066273
56	0.6849754074
57	0.6849452794
58	0.6849214205
59	0.6848890355
60	0.6848617961
61	0.6848288166
62	0.6847987264
63	0.6847752868
64	0.6847478575
65	0.6847227766
66	0.6847074412
67	0.6846868033
68	0.6846569063
69	0.6846368665
70	0.6846001424
71	0.6845820118
72	0.6845597599
73	0.6845367489
74	0.6845169045
75	0.6844972644
76	0.6844823015
77	0.6844664597
78	0.6844533547
79	0.6844343693
80	0.6844166187
81	0.6844055813
82	0.68438772
83	0.6843746327
84	0.6843561458
85	0.6843433435
86	0.6843299314
87	0.6843005304
88	0.6842845539
89	0.6842711287
90	0.6842590722
91	0.6842477668
92	0.684237446
93	0.6842238621
94	0.6842119516
95	0.6842000703
96	0.6841913608
97	0.6841805992
98	0.6841706566
99	0.6841573981
100	0.6841371728
101	0.6841286504
102	0.6841180803
103	0.6841082118
104	0.6840995774
105	0.6840903449
106	0.6840785951
107	0.6840698168
108	0.6840612188
109	0.6840526416
110	0.6840341551
111	0.6840264666
112	0.6840169009
113	0.6840096116
114	0.6840010283
115	0.6839918197
116	0.6839803255
117	0.6839675578
118	0.6839605505
119	0.6839479834
120	0.6839328815
121	0.6839255321
122	0.6839200114
123	0.6839116101
124	0.6839058575
125	0.6838961954
126	0.6838900793
127	0.68386915
128	0.6838548552
129	0.6838483722
130	0.6838397989
131	0.6838340074
132	0.6838139647
133	0.6838056052
134	0.6838003894
135	0.6837936725
136	0.6837874194
137	0.6837813189
138	0.6837747964
139	0.6837689701
140	0.6837617172
141	0.6837537714
142	0.6837477776
143	0.683738339
144	0.6837342959
145	0.6837283805
146	0.683720166
147	0.6837011601
148	0.6836962418
149	0.6836870604
150	0.6836691123
151	0.6836628792
152	0.6836485437
153	0.6836436022
154	0.6836393281
155	0.68362089
156	0.6836130102
157	0.683609421
158	0.6836036946
159	0.6835940578
160	0.6835888535
161	0.6835721765
162	0.683568004
163	0.683563804
164	0.6835557768
165	0.6835498369
166	0.6835465283
167	0.683541537
168	0.6835254181
169	0.6835207118
170	0.6835164075
171	0.6835114258
172	0.6835077533
173	0.6835024815
174	0.6834986787
175	0.6834909884
176	0.683483737
177	0.6834784891
178	0.6834739483
179	0.6834680857
180	0.6834567275
181	0.683449384
182	0.6834451756
183	0.6834351884
184	0.6834303521
185	0.6834259222
186	0.6834209361
187	0.6834136441
188	0.6834056553
189	0.6834010691
190	0.68339195
191	0.6833869421
192	0.6833814584
193	0.6833662051
194	0.6833506785
195	0.6833450674
196	0.6833287833
197	0.6833241387
198	0.6833147607
199	0.6833111774
200	0.6833062665
201	0.6833007447
202	0.6832959895
203	0.6832930334
204	0.6832891771
205	0.6832780262
206	0.6832740706
207	0.6832708521
208	0.6832655999
209	0.6832623219
210	0.6832580921
211	0.6832538443
212	0.6832498352
213	0.6832355115
214	0.6832312342
215	0.6832272701
216	0.6832185223
217	0.6832151309
218	0.6832091425
219	0.6832047404
220	0.6832014554
221	0.6831987053
222	0.6831953824
223	0.6831915742
224	0.6831869964
225	0.6831752716
226	0.6831711523
227	0.6831671611
228	0.6831556901
229	0.6831518231
230	0.6831484429
231	0.6831362721
232	0.6831328337
233	0.6831287032
234	0.6831256375
235	0.6831225205
236	0.6831166096
237	0.6831120357
238	0.6831082644
239	0.6830968851
240	0.6830930235
241	0.6830885015
242	0.6830852597
243	0.6830830401
244	0.6830788163
245	0.6830757573
246	0.6830715749
247	0.6830614703
248	0.6830528622
249	0.6830486116
250	0.68304432
251	0.6830410008
252	0.6830373293
253	0.6830339614
254	0.6830306125
255	0.6830273516
256	0.6830239198
257	0.6830193846
258	0.6830168852
259	0.6830138725
260	0.6830031715
261	0.6829998347
262	0.6829973048
263	0.6829944184
264	0.6829902878
265	0.6829870161
266	0.6829838009
267	0.682978668
268	0.6829754435
269	0.6829723487
270	0.6829697239
271	0.6829660013
272	0.6829625167
273	0.6829588797
274	0.6829558917
275	0.6829533827
276	0.6829481652
277	0.6829461891
278	0.6829424822
279	0.6829336385
280	0.6829304218
281	0.6829271993
282	0.682912613
283	0.6829067466
284	0.6829040999
285	0.682901656
286	0.6828987706
287	0.6828966233
288	0.6828923155
289	0.6828836855
290	0.6828753435
291	0.6828728926
292	0.682868632
293	0.6828653452
294	0.6828631144
