iter	Passed	Remaining
0	273	144329
1	485	127870
2	679	119174
3	893	117216
4	1103	115603
5	1288	112355
6	1476	110075
7	1649	107402
8	1824	105421
9	2014	104563
10	2195	103385
11	2362	101770
12	2538	100762
13	2735	100611
14	2914	99854
15	3065	98299
16	3211	96726
17	3360	95411
18	3506	94125
19	3658	93100
20	3798	91878
21	3929	90547
22	4114	90527
23	4258	89608
24	4428	89283
25	4580	88607
26	4742	88177
27	4911	87884
28	5095	87859
29	5260	87504
30	5423	87121
31	5585	86744
32	5727	86084
33	5815	84673
34	5987	84511
35	6160	84358
36	6329	84161
37	6497	83958
38	6683	83970
39	6856	83816
40	7010	83446
41	7141	82811
42	7295	82460
43	7480	82450
44	7642	82200
45	7807	81975
46	7987	81912
47	8155	81728
48	8337	81669
49	8512	81549
50	8678	81342
51	8846	81152
52	9014	80962
53	9153	80518
54	9318	80308
55	9494	80195
56	9621	79671
57	9790	79508
58	9969	79414
59	10147	79321
60	10316	79145
61	10475	78905
62	10647	78759
63	10813	78569
64	10979	78375
65	11129	78073
66	11281	77794
67	11431	77501
68	11585	77234
69	11763	77133
70	11935	76991
71	12102	76816
72	12253	76541
73	12430	76432
74	12593	76234
75	12765	76088
76	12918	75830
77	13085	75663
78	13226	75342
79	13400	75212
80	13578	75101
81	13720	74795
82	13881	74594
83	14055	74460
84	14231	74338
85	14399	74176
86	14579	74068
87	14745	73893
88	14901	73667
89	15044	73385
90	15198	73154
91	15356	72943
92	15525	72786
93	15703	72671
94	15875	72523
95	16056	72422
96	16223	72251
97	16396	72109
98	16545	71864
99	16715	71707
100	16911	71662
101	17077	71489
102	17262	71396
103	17417	71176
104	17580	70993
105	17756	70859
106	17905	70616
107	18079	70476
108	18250	70324
109	18404	70105
110	18552	69863
111	18716	69684
112	18887	69531
113	19050	69350
114	19203	69133
115	19343	68869
116	19500	68666
117	19659	68476
118	19840	68357
119	20014	68217
120	20173	68022
121	20340	67856
122	20505	67683
123	20677	67534
124	20833	67333
125	20986	67124
126	21137	66906
127	21300	66730
128	21470	66575
129	21627	66380
130	21796	66221
131	21967	66069
132	22135	65907
133	22305	65751
134	22476	65596
135	22660	65483
136	22809	65265
137	22938	64993
138	23106	64831
139	23267	64649
140	23418	64441
141	23596	64307
142	23684	63931
143	23853	63773
144	24012	63591
145	24156	63368
146	24315	63186
147	24470	62995
148	24649	62863
149	24799	62658
150	24954	62470
151	25124	62315
152	25275	62115
153	25439	61947
154	25599	61769
155	25764	61604
156	25940	61465
157	26105	61297
158	26279	61153
159	26451	61004
160	26604	60810
161	26777	60661
162	26941	60494
163	27101	60316
164	27263	60144
165	27432	59987
166	27585	59796
167	27755	59640
168	27908	59449
169	28069	59275
170	28223	59087
171	28390	58926
172	28548	58747
173	28716	58588
174	28882	58424
175	29047	58260
176	29201	58072
177	29362	57900
178	29525	57731
179	29690	57566
180	29859	57409
181	30029	57254
182	30202	57105
183	30349	56904
184	30516	56744
185	30685	56586
186	30834	56392
187	31011	56249
188	31168	56069
189	31334	55906
190	31509	55759
191	31676	55599
192	31826	55408
193	31973	55211
194	32141	55052
195	32298	54874
196	32476	54732
197	32636	54558
198	32776	54353
199	32934	54178
200	33093	54003
201	33256	53835
202	33422	53673
203	33599	53529
204	33767	53369
205	33943	53221
206	34092	53033
207	34251	52859
208	34422	52704
209	34587	52539
210	34725	52334
211	34887	52167
212	35048	51996
213	35201	51815
214	35353	51632
215	35526	51480
216	35703	51333
217	35857	51154
218	36027	50997
219	36177	50812
220	36346	50654
221	36518	50501
222	36668	50316
223	36830	50148
224	37003	49995
225	37168	49832
226	37318	49649
227	37473	49471
228	37645	49316
229	37801	49142
230	37968	48981
231	38127	48809
232	38296	48651
233	38464	48490
234	38617	48312
235	38785	48153
236	38951	47991
237	39133	47848
238	39287	47671
239	39457	47513
240	39622	47349
241	39785	47184
